,Name,Category,Distance,Address,Latitude,Longitude,Review_count,Rating
140,Wadina,"['Lebanese', 'Halal', 'Vegetarian']",308,133 Rue Breteuil,43.286314,5.377496,94,4.5
141,Sushi Street Café,"['Sushi Bars', 'Japanese']",260,24 boulevard Notre Dame,43.289185,5.372774,101,4.0
142,Spok Notre Dame,['Fast Food'],24,67 bd Notre Dame,43.286944,5.374085,8,4.5
143,L'Escapade Marseillaise,['Mediterranean'],436,134 rue Paradis,43.2876251243622,5.37909351534427,58,4.5
144,Le Bistrot Asiatique,['Pan Asian'],288,54 rue Breteuil,43.2886423,5.376501,12,4.5
145,O'Pakistan,"['Pakistani', 'Indian']",124,11 rue des Trois Rois,43.29412,5.38475,186,4.0
146,Wasabi,['Japanese'],841,26 rue du Rouet,43.28444,5.38544,45,4.5
147,La Tarraillette,"['French', 'Lyonnais', 'Wine Bars']",302,59 bd Eugène Pierre,43.29635,5.3907,65,3.5
148,La Grand Baie,"['Caribbean', 'Reunion']",85,28 cours Gouffé,43.28593,5.3872799,36,4.0
149,Relais Corse,"['Corsican', 'Wine Bars', 'Tapas Bars']",363,49 avenue du Prado,43.283442,5.38562,45,4.0
150,La Fontaine,['Moroccan'],223,31 Avenue Jules Cantini,43.28469,5.38592,22,4.0
151,KYO,"['Japanese', 'Sushi Bars']",257,15 avenue du Prado,43.284737,5.384893,44,4.0
152,La Folie du Burger,"['Burgers', 'Fast Food']",106,5 ave de Toulon,43.2859116,5.3858299,15,4.0
153,Massena Café,['Cafes'],238,1 avenue Jules Cantini,43.28567,5.38413,66,3.5
154,Vapiano,['Italian'],325,20 avenue du Prado,43.28446,5.38417,85,3.5
155,Topolino Pizza,['Pizza'],47,102 boulevard de la Libération,43.301,5.39143,10,4.0
156,La Tasca,"['Tapas/Small Plates', 'Cocktail Bars']",167,102 rue Ferrari,43.29318,5.39163,386,4.0
157,El Picoteo,"['Spanish', 'Tapas/Small Plates']",318,53 rue Saint Pierre,43.293129,5.3893099,12,4.0
158,Sushiqui,['Japanese'],244,31 Rue Goudard,43.29399,5.39418,8,4.5
159,Waroeng Bali,"['Indonesian', 'Pan Asian']",230,15 rue du Docteur Escat,43.2837449424109,5.38364614160743,20,4.0
160,Urban Kitchen,"['French', 'Bars', 'Breakfast & Brunch']",322,23 avenue de Corinthe,43.28341,5.39032,18,4.0
161,Seiiki Leyen,"['Japanese', 'Sushi Bars']",138,60 avenue du Prado,43.283,5.385,324,3.0
162,Le Capriccio,"['Pizza', 'Italian']",52,70 bd Camille Flammarion,43.30579,5.39303,28,4.0
163,Observatoire de Marseille - Planétarium,['Museums'],30,Impasse Plateau longchamp,43.305829,5.393389,3,4.0
164,Les Quatre Epices,['French'],50,30 Boulevard Georges Clemenceau,43.2991311,5.3972236,30,4.0
165,The Black Unicorn,['Pubs'],358,176 bd Chave,43.295498398078,5.3965099990434,63,4.0
166,Coogee,['Coffee & Tea'],368,100 boulevard Baille,43.287629,5.390766,73,4.5
167,Café Thaï,['Thai'],596,136 rue Rouet,43.279105,5.391742,157,4.0
168,Le Goût des Choses,['French'],983,4 place Notre-Dame du Mont,43.29155,5.38485,58,4.0
169,Le Patio du Prado,['French'],735,9 Rue Borde,43.27826,5.38898,18,5.0
170,Cyprien,['French'],367,56 avenue Toulon,43.28543,5.38744,32,3.5
171,PechaKucha,"['Party & Event Planning', 'Beaches']",166,,43.3141873579581,5.38295745849609,1,4.0
172,Le Cafe du Theatre,['Cafes'],58,3 place Placide Caffo,43.31301,5.3846299,1,4.0
173,Chez Roger - Bar Aéro,"['Bars', 'Breakfast & Brunch', 'Music Venues']",108,151 Rue Loubon,43.31315,5.386034,1,4.0
174,Le Pallavicini,"['Pizza', 'Food Delivery Services']",259,16 rue Madon,43.2928993,5.4000491,8,4.0
