,Id,Name,Category,Distance,Address,Latitude,Longitude,Review_count,Rating
21,bwGTTdYVUR1B69pod45UCw,Chez Simone,['French'],225,23 cours Franklin Roosevelt,43.29897,5.38744,12,4.5
22,4q-slQPktkv3bVPV4qrATg,Café Vian,"['Wine Bars', 'Provencal', 'Barbeque']",597,12 rue Vian,43.29443,5.38383,119,4.5
23,8aaP45FDUXeJhXKyPIvSfg,Casa No Name,"['French', 'Mediterranean']",631,7 rue André Poggioli,43.29405,5.38541,30,4.5
24,dcG-CXh6Gdi7kxRp472uiQ,L'Hippocampe,"['Seafood', 'Mediterranean']",29,14 quai du Port,43.296557,5.373062,13,4.0
25,_HmsDLwMLKrbmndlNQ7ZoQ,Vinonéo,"['French', 'Wine Bars', 'Mediterranean']",309,6 place Daviel,43.2977099227985,5.36929702883606,56,4.5
26,i1aD9BdALxnbeacX1j3Utw,Déjeuner en Ville,['Bistros'],59,5 rue de la République,43.2969,5.37363,21,4.5
27,m5ERA2E2b07Dm5DSwj_cKA,Miramar,['Seafood'],40,12 quai du Port,43.2965,5.373197,143,3.5
28,CSFc59c3-zGbD-cwFa1pSA,Une Table au Sud,['Mediterranean'],75,1 Rue République,43.2963958166187,5.37366704830174,48,4.0
29,DEHMfZxRq9HXrLx1GEnGfg,La Kahena,"['Arabic', 'Mediterranean']",113,2 rue de la République,43.296495,5.3742438,68,3.5
30,tpya1qrNPfCnSDFE53A6sQ,Le Bocal,['French'],144,58 Quai Du Port,43.29621,5.37132,23,4.0
31,7av0DefYvzlnjg7dPJgirg,Toinou,"['Seafood', 'Seafood Markets']",161,3 cours Saint-Louis,43.29612,5.37825,217,3.5
32,KsagIFKCpWr6X_hq9H_mKQ,Le Café de la Banque,"['Brasseries', 'Bars', 'Breakfast & Brunch']",371,24 bd Paul Peytral,43.29022,5.37866,65,4.5
33,Hso967z4tT6DQkA_XL-Cdg,Pouce,"['Tea Rooms', 'Mediterranean']",248,95 bd Longchamp,43.30261,5.39091,15,4.0
34,JNVckjqRzuToK65LU-5P8Q,Teavora,"['Tea Rooms', 'Shopping', 'Restaurants']",243,65 boulevard Longchamp,43.302143,5.38954,97,4.0
35,I_GTBZ74Wb9DOQg-itmGaA,Palais Longchamp,['Museums'],447,Place Henri Dunant,43.304251217793,5.3943953234515,81,4.5
36,moqTbZsBc6V1Z_6hZ1utoQ,La Table Cinq,['French'],696,8 avenue des Chartreux,43.30304,5.39733,45,4.5
37,P__7FBiVbpZn4Wgf9qOnzw,Le Débouché,"['Wine Bars', 'French']",318,3 bd National,43.30155,5.38749,20,4.5
38,a9lsL7wF75lRMGXGbJdGqw,La Garbure,['French Southwest'],1106,9 cours Julien,43.29527,5.3829,110,4.5
39,qzI9sQ6vToMDi_RGk9W13w,Ummagumma,"['French', 'Tapas/Small Plates']",1141,26 rue des Trois Rois,43.29424,5.384759,78,4.5
40,QBoxR4UcA63sbIIC8U96Iw,Le Phénicia,['Middle Eastern'],168,187 bd de la Libération,43.30185,5.39373,40,4.0
41,cBxRGoh-x6mcbcNuQ14zPQ,Le Petit Nice Passedat,"['French', 'Seafood']",844,17 rue des Braves,43.280125,5.352096,154,4.0
42,tltXVzIZGoS1rw5JeBdeww,Basilique Notre-Dame de la Garde,"['Churches', 'Landmarks & Historical Buildings']",1196,Rue Fort du Sanctuaire,43.283955,5.371235,197,4.5
43,nz4C7lllIxIH_-d0vrNG-w,Corniche Kennedy,"['Landmarks & Historical Buildings', 'Hiking']",131,Corniche John Fitzgerald,43.2753878035253,5.35979576450515,29,4.5
44,72YsfpjeCvaqXjJ1hdLc5Q,L'Epuisette,"['French', 'Mediterranean']",1317,156 Rue Vallon Des Auffes,43.28514,5.35036,145,4.5
45,wOSIB3vmbZ-vbDrUQhbheQ,L'Eau à la Bouche,['Pizza'],1143,120 corniche du Président Kennedy,43.28291,5.35037,52,4.0
46,x3MJvhMflY9zWYxxIpCyqg,Le Sunset,"['Brasseries', 'Bistros']",99,315 corniche Kennedy,43.27558,5.35984,8,4.0
47,eTTL7338IzdKlbpKpOyuqg,Le Parc Valmer,['Parks'],502,275 corniche John Fitzerald Kennedy,43.27803,5.35529,19,4.5
48,PzZDS3aW7dNFsKFlBb8vXA,Zia Concetta,"['Trattorie', 'Imported Food']",107,315 corniche Kennedy,43.2755997,5.3599532,7,3.5
49,L0M5Lf7mZTnkrwsQtvN4Rw,Le Comptoir Marseillais,"['Bars', 'Tapas Bars', 'Mediterranean']",1322,5 Promenade Georges Pompidou,43.2675,5.37222,59,3.5
50,BOKvD2zWFup_4yQ7X9ktgA,Le Rhul,"['Seafood', 'French']",808,269 Corniche Kennedy,43.270596,5.367413,50,3.5
51,hzeFLbv6RsGfVB3C9MJ5Nw,Carmine,['Italian'],317,134 quai du Port,43.296061,5.36774,54,4.0
52,3z7M4qMIUIO7-sdcGGtJMQ,Bobolivo,"['Brasseries', 'Bistros', 'French']",337,29 rue Caisserie,43.29676,5.36694,59,4.0
53,FHHCjx0O5Gq0udJS1reGcA,Le Café des Épices,['French'],164,4 rue du Lacydon,43.29689,5.36919,112,3.5
54,EfmiePTnmslcGd-aolORYw,Au Bout du Quai,"['French', 'Mediterranean']",195,1 avenue St Jean,43.29549,5.36496,65,4.0
55,x1HzS7UZj3v1bMzDcY50vQ,La Nautique,"['French', 'Seafood', 'Mediterranean']",357,20 quai de Rive Neuve,43.2934859745132,5.37051770435187,60,4.0
56,dCLD-YAuR-EiEYbqMOp8CA,Damdy's,"['Vegan', 'Vegetarian', 'Juice Bars & Smoothies']",33,148 bis quai du Port,43.296032,5.367379,14,4.5
