,name,Latitude,Longitude,Empty Slots,free_bikes,timestamp
91,Stade Bombardière,43.31710365325108,5.43681784487967,,6,2023-10-30T03:33:02.360000Z
92,La Criée,43.292748522069814,5.368401671786842,,0,2023-10-30T03:33:00.934000Z
93,Sainte - Notre-Dame,43.291674744737406,5.371582564461846,,0,2023-10-30T03:33:01.013000Z
94,Place de la Corderie,43.29077871,5.371481915,,1,2023-10-30T03:33:01.034000Z
95,République Joliette,43.30304044330242,5.368986802595486,,0,2023-10-30T03:33:01.105000Z
96,Pierre Puget - Breteuil,43.290326899868546,5.375711092245979,,0,2023-10-30T03:33:01.124000Z
97,Endoume - Corderie,43.28918361,5.366407727,,4,2023-10-30T03:33:01.133000Z
98,Estrangin,43.28974291012639,5.378303806996655,,0,2023-10-30T03:33:01.203000Z
99,Pasteur,43.29063067145421,5.359243592567395,,0,2023-10-30T03:33:01.205000Z
100,Livon - Pasteur,43.29199367364626,5.357886145002112,,2,2023-10-30T03:33:01.218000Z
101,Rome - Salvator,43.29099525,5.381360991,,0,2023-10-30T03:33:01.220000Z
102,Rome Sylvabelle,43.290099616284294,5.3812689520102595,,1,2023-10-30T03:33:01.229000Z
103,Vallon Jourdan,43.286593099737644,5.363346223953386,,1,2023-10-30T03:33:01.257000Z
104,Place du 4 Septembre,43.28856007,5.358371494,,5,2023-10-30T03:33:01.309000Z
105,Paradis - Vignerons,43.287184431033836,5.379370104893951,,2,2023-10-30T03:33:01.322000Z
106,Plage des Catalans,43.29010343949329,5.356114229700495,,6,2023-10-30T03:33:01.323000Z
107,Chave Eugene Pierre,43.29516935,5.390426195,,2,2023-10-30T03:33:01.444000Z
108,Paradis - Escat,43.283497890652455,5.380948347618755,,0,2023-10-30T03:33:01.449000Z
109,Castellane,43.28479294027045,5.384113381462271,,4,2023-10-30T03:33:01.450000Z
110,Place du Terrail,43.280390122603876,5.369296566841854,,1,2023-10-30T03:33:01.460000Z
111,Vallon Montebello,43.28104431,5.378308143,,1,2023-10-30T03:33:01.460000Z
112,Camas - Jaubert,43.29781526590139,5.393547700948375,,2,2023-10-30T03:33:01.477000Z
113,Vallon des Auffes,43.285848320041225,5.350786907401925,,0,2023-10-30T03:33:01.482000Z
114,Baille - Vertus,43.288501054747115,5.393086808343014,,0,2023-10-30T03:33:01.509000Z
115,Corniche - Malmousque,43.2842190593168,5.349699767931042,,1,2023-10-30T03:33:01.525000Z
116,Corniche - Endoume,43.28274440346115,5.35053287799019,,6,2023-10-30T03:33:01.526000Z
117,Paradis - Lord Duveen,43.27562456,5.384392134,,3,2023-10-30T03:33:01.611000Z
118,Plage du Prophète,43.273613112520195,5.362704849368924,,1,2023-10-30T03:33:01.612000Z
119,Prado - Lord Duveen,43.27676858722245,5.388786515806714,,1,2023-10-30T03:33:01.626000Z
120,Liandier - Rouet,43.278398597227664,5.392138782316124,,2,2023-10-30T03:33:01.634000Z
